"Отметка времени","Укажите, пожалуйста, Ваш пол:","Сколько вам полных лет?","Укажите, пожалуйста, уровень Вашего образования","В каком районе вы живете?","В данный момент:","Катаетесь ли вы на велосипеде в Москве?","Давно ли вы умеете кататься на велосипеде? ","Пользуетесь ли вы услугами московского велопроката  (https://velobike.ru)","Пользуетесь ли вы услугами других велопрокатов Москвы?","С какой целью вы катаетесь на велосипеде?","Совмещаете ли вы велосипед с другими видами транспорта при планировании своей поездки?","Имеете ли вы личный велосипед? ","Есть ли рядом с вашим домом станция московского велопроката (в окрестности 500 метров) ","Есть ли у вас в распоряжении личный автомобиль?","На сколько далеко от вас расположено ваше место работы (учебы)","Как вы считаете, насколько опасна поездка на велосипеде по городу?","Инфраструктура вдоль моей дороги на работу/учебу удобна для передвижения на велосипеде","Я мог бы безопасно припарковать свой велосипед у места работы/учебы","Я мог бы безопасно припарковать свой велосипед у дома","На сколько для вас важен велосипед в городе?","Насколько положительно вы воспринимаете велосипедистов","Что для вас велосипед?"
"2019/05/28 9:30:00 AM GMT+3","Женский","42","Высшее","Фили-Давыдково","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","10","1","10","10","4","10",""
"2019/05/28 9:34:16 AM GMT+3","Женский","35","Высшее","Фили Давыдково","Я работаю","Нет","","","","","","Нет","Нет","Нет","От 5 до 10 километров","8","3","10","3","5","10","Велосипед делает город лучше - меньше машин, меньше выхлопов "
"2019/05/28 9:41:42 AM GMT+3","Женский","39","Высшее","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Менее 2 километров","2","5","8","3","4","10","Досуг"
"2019/05/28 9:43:10 AM GMT+3","Женский","50","Высшее","Академический","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","9","5","1","1","1","1","Помеха"
"2019/05/28 9:48:38 AM GMT+3","Женский","34","Высшее","Раменки","Я безработный","Нет","","","","","","Да","Да, есть","Да, есть","Менее 2 километров","8","5","5","5","1","5",""
"2019/05/28 9:48:38 AM GMT+3","ну просто другой, хочу побыть другим :)))","47","Высшее","ЗАО","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","10","1","10","1","1","1","Ненавижу велосипедистов и самокатчиков, особенно в транспорте, особенно на тротуарах, особенно в час пик. Опрос Ваш составлен безграмотно, и надеюсь Вы, молодой человек, получите ""неуд"" (по вашему 2-йку)."
"2019/05/28 10:05:03 AM GMT+3","Женский","32","Высшее","Хамовники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Да","Да","Да, есть","Нет","От 5 до 10 километров","7","1","6","5","10","10","Самый удобный транспорт"
"2019/05/28 10:21:03 AM GMT+3","Мужской","34","Высшее","СЗАО","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","От 5 до 10 километров","9","2","9","2","1","2","Досуг и не более"
"2019/05/28 10:36:38 AM GMT+3","Женский","45","Высшее","Мнёвники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг;провожу велоэкскурсии","Да","Да","Да, есть","Да, есть","От 5 до 10 километров","3","5","5","1","10","8","Транспорт, средство заработка, возможность увидеть больше город и показать его людям, велосипед-это жизнь, любовь, хобби, увлечение!"
"2019/05/28 10:44:25 AM GMT+3","Мужской","52","Среднее специальное","Гагаринский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","10","3","10","1","1","1",""
"2019/05/28 10:45:42 AM GMT+3","Женский","40","Высшее","Фили-Давыдково","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","От 2 до 5 километров","8","10","10","7","8","8","Развлечение"
"2019/05/28 10:47:21 AM GMT+3","Женский","43","Высшее","Гагаринский","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","8","1","2","2","1","6","развлечение"
"2019/05/28 11:02:18 AM GMT+3","Женский","44","Высшее, ученая степень","раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Более 10 километров","7","2","8","4","7","9","отдых"
"2019/05/28 11:05:17 AM GMT+3","Женский","32","Высшее","ЦАО ","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 2 до 5 километров","8","9","5","6","8","8",""
"2019/05/28 11:27:02 AM GMT+3","Женский","43","Высшее, ученая степень","Фили-Давыдково","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Менее 2 километров","10","1","1","1","10","10","Почти друг"
"2019/05/28 11:34:20 AM GMT+3","Женский","45","Высшее","Обручевский","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 2 до 5 километров","9","1","8","1","2","4","развлечение"
"2019/05/28 11:37:22 AM GMT+3","Мужской","33","Высшее","Кунцево","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 5 до 10 километров","1","9","10","10","1","1","Развлечение"
"2019/05/28 11:43:39 AM GMT+3","Женский","33","Высшее, ученая степень","Хорошево-Мневники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","8","1","10","2","4","7","Движение"
"2019/05/28 12:01:20 PM GMT+3","Мужской","42","Высшее","Гагаринском","Преподаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","7","1","9","9","10","10","Средство передвижения, транспорт."
"2019/05/28 12:10:15 PM GMT+3","Женский","35-45","Высшее","Не твое дело","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","8","1","9","10","5","10",""
"2019/05/28 12:20:46 PM GMT+3","Женский","34","Высшее","Фили-Давыдково","В декрете","Да","Более 10 лет","Нет, не пользуюсь","Да, пользуюсь","Способ проведения досуга","Нет","Нет","Нет","Да, есть","От 5 до 10 километров","8","3","4","1","5","8","Досуг, спорт, времяпровождение с друзьями "
"2019/05/28 12:27:01 PM GMT+3","Женский","32","Высшее, ученая степень","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поручения и личные встречи;Отвожу ребенка в садик, езжу по району (в магазин, на тренировки)","Да","Да","Да, есть","Да, есть","Менее 2 километров","5","7","7","1","6","10","Любимый способ передвижения!"
"2019/05/28 12:28:44 PM GMT+3","Женский","28","Высшее","Раменки","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Менее 2 километров","4","4","1","1","7","3",""
"2019/05/28 12:30:00 PM GMT+3","Мужской","40","Среднее специальное","Зао","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 2 до 5 километров","5","4","3","1","1","3","Помощник на природе и помеха в городе"
"2019/05/28 12:43:53 PM GMT+3","Мужской","52","Высшее","Фили","Я работаю","Нет","","","","","","Да","Нет","Нет","Более 10 километров","10","1","10","1","5","5","Здесь нет главного вопроса: Как я отношусь к тому, что велосипедисты в нарушение ПДД ездят по тротуарам?"
"2019/05/28 12:51:06 PM GMT+3","Женский","29","Высшее","Солнцево","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Более 10 километров","8","1","8","8","7","7",""
"2019/05/28 12:51:38 PM GMT+3","Женский","37","Высшее","Обручевский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Да, есть","От 5 до 10 километров","8","1","10","1","8","10",""
"2019/05/28 1:17:46 PM GMT+3","Мужской","38","Высшее","Хорошо-Мневники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Спорт","Нет","Да","Нет","Да, есть","Более 10 километров","5","3","10","10","8","9","Быстрее, чем пешком."
"2019/05/28 1:23:31 PM GMT+3","Женский","61","Высшее, ученая степень","Сокольники","пенсионер","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","прогулки и магазины за городом (Быково)","Нет","Да","Да, есть","Да, есть","От 2 до 5 километров","10","1","1","1","2","2","Способ передвижения, прогулки за городом"
"2019/05/28 1:24:02 PM GMT+3","Женский","30","Высшее","Раменки","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Нет","Да, есть","Да, есть","Более 10 километров","8","2","9","9","9","10",""
"2019/05/28 1:26:44 PM GMT+3","Женский","27","Высшее","фили-давыдково","Я работаю","Нет","","","","","","Да","Нет","Да, есть","Более 10 километров","8","5","1","1","2","5",""
"2019/05/28 2:01:49 PM GMT+3","Женский","40","Высшее","Щукино","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","9","1","10","1","3","3","Ср-во передвижения за городом"
"2019/05/28 2:10:25 PM GMT+3","Женский","37","Высшее","Хорошевский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Более 10 километров","8","1","10","1","5","5",""
"2019/05/28 2:37:05 PM GMT+3","Женский","37","Высшее","Хорошево-Мневники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Да","Да","Нет","Да, есть","Менее 2 километров","7","1","2","1","5","6","Средство передвижения"
"2019/05/28 2:37:53 PM GMT+3","Женский","44","Высшее","Хорошево-Мневники","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","1","2","1","1","1","Велосипед точно не для Москвы. Для деревни весьма удобное средство передвижения."
"2019/05/28 2:44:17 PM GMT+3","Женский","46","Высшее","Зао","Домохозяйка","Нет","","","","","","Нет","Нет","Да, есть","Менее 2 километров","9","3","5","6","5","7",""
"2019/05/28 3:23:54 PM GMT+3","Женский","42","Высшее","Филевский парк","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Да, пользуюсь","Способ проведения досуга","Да","Нет","Нет","Да, есть","От 5 до 10 километров","10","1","5","4","4","5","Способ физ нагрузки"
"2019/05/28 3:39:06 PM GMT+3","Женский","44","Высшее","Щукино","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 2 до 5 километров","8","1","2","2","1","4","Это отдых за городом"
"2019/05/28 3:49:53 PM GMT+3","Женский","30","Высшее","Черёмушки","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","От 5 до 10 километров","6","2","10","1","3","6",""
"2019/05/28 3:51:25 PM GMT+3","Женский","41","Высшее","Хорошёво-Мнёвники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","Более 10 километров","7","1","1","1","7","10","Активный отдых"
"2019/05/28 4:03:00 PM GMT+3","Мужской","44","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Да, есть","Да, есть","Более 10 километров","5","8","8","8","10","10","Транспорт, досуг, фитнес"
"2019/05/28 4:19:08 PM GMT+3","Женский","47","Высшее","Очаково","Я работаю","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","10","1","1","1","1","1","Пустое место"
"2019/05/28 4:25:09 PM GMT+3","Мужской","37","Высшее","Фили-давыдково","Я работаю","Нет","","","","","","Нет","Нет","Нет","Менее 2 километров","3","6","5","8","8","9",""
"2019/05/28 4:25:24 PM GMT+3","Мужской","37","Высшее","Тропарево-Никулино ","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","4","2","2","2","4","3","Средство передвижения"
"2019/05/28 4:30:23 PM GMT+3","Мужской","35","Высшее","ЗАО","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Нет","От 5 до 10 километров","8","2","2","2","8","9",""
"2019/05/28 4:31:14 PM GMT+3","Мужской","48","Высшее","Тропарево-Никулино","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","8","3","3","3","5","5",""
"2019/05/28 4:40:29 PM GMT+3","Женский","37","Высшее","Тропарево-Никулино","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 2 до 5 километров","7","7","3","1","5","8",""
"2019/05/28 4:47:39 PM GMT+3","Женский","46","Высшее","Тропарево-Никулино","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","От 5 до 10 километров","8","1","1","1","5","8","Средство передвижения "
"2019/05/28 4:53:37 PM GMT+3","Мужской","47","Высшее","Никулино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Более 10 километров","4","3","10","7","1","4",""
"2019/05/28 4:58:07 PM GMT+3","Женский","40","Высшее","хамовники","в творсеском отпуске ","Нет","","","","","","Да","Да, есть","Да, есть","От 2 до 5 километров","10","1","1","1","1","1","физкультура "
"2019/05/28 5:00:30 PM GMT+3","Женский","38","Высшее","Тропарево-Никулино","Я работаю","Нет","","","","","","Нет","Нет","Нет","От 2 до 5 километров","10","1","1","1","5","10","Развлечение и спорт"
"2019/05/28 5:01:36 PM GMT+3","Женский","44","Среднее специальное","Сокольники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Нет","Более 10 километров","5","2","1","1","5","10","Мой друг"
"2019/05/28 5:05:45 PM GMT+3","Мужской","38","Высшее","Тропарево","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","6","4","1","1","3","10",""
"2019/05/28 5:11:14 PM GMT+3","Мужской","33","Неоконченное высшее","Тропарево-Никулино","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Да, есть","Нет","Более 10 километров","4","8","8","3","10","10","транспорт, досуг, развлечение, походы"
"2019/05/28 5:17:35 PM GMT+3","Мужской","33","Неоконченное высшее","Тропарёво-Никулино","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","7","1","10","1","8","10","отдых и хорошая альтернатива избегать поездки на общественном транспорте до работы"
"2019/05/28 5:23:31 PM GMT+3","Мужской","38","Среднее общее","Тропарёво-Никулино","Я работаю","Нет","","","","","","Да","Нет","Нет","Более 10 километров","10","1","1","1","4","5",""
"2019/05/28 5:28:36 PM GMT+3","Женский","32","Высшее","Хорошево-Мневники","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","7","3","10","1","5","8","Способ активно провести досуг"
"2019/05/28 5:30:05 PM GMT+3","Мужской","42","Высшее","ЗАО","Я работаю","Да","от 5 до 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","7","1","10","1","4","5","Способ передвижения на природе"
"2019/05/28 5:40:36 PM GMT+3","Женский","46","Высшее","ЗАО ","Я работаю","Нет","","","","","","Да","Да, есть","Нет","От 5 до 10 километров","8","3","1","1","5","10","Развлечение и спорт "
"2019/05/28 5:41:00 PM GMT+3","Мужской","41","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Да","Нет","Да, есть","Нет","Более 10 километров","8","6","9","6","9","9",""
"2019/05/28 5:41:39 PM GMT+3","Мужской","40","Высшее","Хорошево-Мневники","Я безработный","Нет","","","","","","Нет","Нет","Да, есть","От 2 до 5 километров","10","1","1","1","1","1","Средство для прогулок за городом"
"2019/05/28 5:42:14 PM GMT+3","Мужской","28","Высшее","Тропарево-Никулино","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Да","Нет","Да, есть","От 5 до 10 километров","6","4","8","2","5","7","Транспорт для коротких (до 40 мин) поездок"
"2019/05/28 5:46:41 PM GMT+3","Женский","43","Высшее","Хорошево-Мневники ","Я безработный","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Менее 2 километров","8","7","8","2","4","10","Фитнес "
"2019/05/28 5:48:33 PM GMT+3","Мужской","38","Высшее, ученая степень","Тропарево","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Поездка на работу (и с работы)","Нет","Да","Нет","Да, есть","От 2 до 5 километров","8","2","10","10","3","7","Не очень нужная вещь. "
"2019/05/28 5:52:42 PM GMT+3","Женский","28","Высшее","Филевский парк","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","7","1","10","4","1","1","Средство передвижения "
"2019/05/28 5:56:23 PM GMT+3","Мужской","42","Высшее, ученая степень","Филёвский парк","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Менее 2 километров","8","5","7","10","7","5",""
"2019/05/28 5:58:29 PM GMT+3","Женский","39","Высшее","Фили-давыдково","Я работаю","Нет","","","","","","Да","Нет","Да, есть","Более 10 километров","9","1","4","1","3","5","Тяжелая штука, на которой негде кататься из-за загазованности и отсутствия зелени. Кататься внутри Садового - омерзительно, ибо дышать нечем и смотреть почти не на что."
"2019/05/28 6:03:48 PM GMT+3","Женский","44","Высшее","Теплый стан, ЮЗАО","Я работаю","Нет","","","","","","Да","Нет","Да, есть","Более 10 километров","7","9","8","4","7","2","Сейчас это источник повышенной опасности, тк люди не знают правил пользования данным видом транспорта, могут выехать на пешеходный переход на велосипеде, едут в толпе на велосипеде. При этом я горячо приветствую создание инфраструктуры для велосипедистов. "
"2019/05/28 6:27:12 PM GMT+3","Мужской","39","Высшее, ученая степень","Тропарево-Никулино ","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","10","1","10","10","1","3","Средство передвижения по парку и за городом. Велосипедам не место в Москве, это транспорт не подходит для данной климатической зоне и масштабам города"
"2019/05/28 6:44:49 PM GMT+3","Женский","33","Высшее","Хорошево-Мневники","Я работаю","Да","от 1 до 5 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Более 10 километров","3","3","6","7","9","10","Спорт и любимый досуг весной, летом и осенью"
"2019/05/28 6:50:21 PM GMT+3","Женский","39","Высшее","Бирюлево Западное","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","5","3","10","3","6","10","Отдых"
"2019/05/28 6:55:31 PM GMT+3","Женский","29","Высшее","Раменки","Я работаю","Да","Более 10 лет","Да, пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы)","Нет","Нет","Да, есть","Да, есть","От 5 до 10 километров","7","3","8","8","5","7","Экологичное средство передвижения на близкие дистанции и способ поддержания физической формы"
"2019/05/28 7:15:59 PM GMT+3","Женский","47","Высшее","Тропарево Никулино","Домохозяйка ","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","От 2 до 5 километров","10","1","1","5","5","5","Часть досуга"
"2019/05/28 7:39:37 PM GMT+3","Мужской","40","Высшее","Хорошево Мневники","Я работаю","Нет","","","","","","Да","Нет","Нет","От 5 до 10 километров","10","1","1","1","6","6",""
"2019/05/28 7:49:41 PM GMT+3","Женский","45","Высшее, ученая степень","Тропарево-Никулино ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","Более 10 километров","7","3","3","1","2","4","Здоровый образ жизни"
"2019/05/28 8:01:36 PM GMT+3","Женский","40","Высшее, ученая степень","Юго-западная","В декрете","Нет","","","","","","Нет","Нет","Да, есть","От 5 до 10 километров","5","8","9","6","3","4","Спорт"
"2019/05/28 8:02:32 PM GMT+3","Женский","55","Высшее","Хорошево-Мневники","Я работаю","Нет","","","","","","Нет","Нет","Нет","От 5 до 10 километров","10","1","3","1","1","5","Можно покататься за городом "
"2019/05/28 8:03:31 PM GMT+3","Женский","2000","Высшее","Очаково-Матвеевское ","Я работаю","Нет","","","","","","Да","Да, есть","Нет","От 5 до 10 километров","7","6","4","1","5","7",""
"2019/05/28 8:17:07 PM GMT+3","Женский","33","Высшее","Щукино","Я безработный","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","3","5","2","1","5","10","ничего"
"2019/05/28 8:17:57 PM GMT+3","Женский","42","Высшее, ученая степень","Тропарево-Никулино ","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","7","2","10","6","2","7",""
"2019/05/28 8:34:48 PM GMT+3","Женский","45","Высшее, ученая степень","Хамовники","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","10","1","6","1","3","1",""
"2019/05/28 8:36:13 PM GMT+3","Женский","50","Высшее","Гагаринский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Нет","От 2 до 5 километров","5","2","1","1","5","8","Вид досуга, физическая активность "
"2019/05/28 8:43:25 PM GMT+3","Женский","43","Высшее, ученая степень","Тропарево-Никулино","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Менее 2 километров","5","2","10","10","4","8","Нечастое Развлечение на выходных и тренажёр на фитнесе"
"2019/05/28 8:52:49 PM GMT+3","Женский","35","Высшее","Тропарево-Никулино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","Более 10 километров","8","1","10","10","4","7","Развлечение "
"2019/05/28 9:06:35 PM GMT+3","Мужской","50","Неоконченное высшее","Москва","Я безработный","Нет","","","","","","Да","Нет","Нет","Менее 2 километров","10","1","1","1","1","1",""
"2019/05/28 9:13:37 PM GMT+3","Мужской","33","Высшее","Тропарево-Никулино","Я работаю","Нет","","","","","","Да","Да, есть","Да, есть","Более 10 километров","7","5","1","1","6","8","Лично для меня вполне может заменить автомобиль, но только при развитии инфраструктуры - безопасные развязки, возможность хранить/парковать велосипед у дома/работы. Сейчас банально негде его держать дома и парковать у офиса. На машине дорога 25-30 минут (не в час пик), на автобусе час; в час пик на машине час, на автобусе полтора-два часа с учетом ожидания. На велосипеде можно было бы добираться за 35-40 минут, что лучше ОТ и значительно выгоднее личного авто."
"2019/05/28 9:17:42 PM GMT+3","Женский","51","Высшее","Хамовники ЦАО","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Более 10 километров","10","1","1","1","10","10","Спортинвентарь использование которого на дорогах небезопасно, а в условиях современного  движения в  Москве не полезно для здоровья    "
"2019/05/28 9:22:38 PM GMT+3","Женский","22","Неоконченное высшее","Гагаринский","Я работаю","Нет","","","","","","Нет","Да, есть","Нет","От 5 до 10 километров","10","1","10","10","1","4",""
"2019/05/28 9:28:50 PM GMT+3","Женский","46","Высшее","ЗАО","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Да, есть","Более 10 километров","9","1","9","1","3","6","Развлечение, спорт"
"2019/05/28 9:29:39 PM GMT+3","Женский","38","Высшее","Тропарево-Никулино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга;Поездка на работу (и с работы);Поручения и личные встречи;Шоппинг","Да","Да","Да, есть","Нет","От 2 до 5 километров","6","2","2","1","10","10","Основное средство передвижения, способ сэкономить время и деньги"
"2019/05/28 9:36:27 PM GMT+3","Женский","38","Высшее","Зюзино","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","8","6","10","5","1","3","Для детей"
"2019/05/28 9:43:16 PM GMT+3","Женский","40","Высшее","Филевский парк","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","8","2","10","10","3","3","Не средство передвижения по Москве, он для отдыха и спорта в специально отведённых местах - парках с дорожками, велотреках"
"2019/05/28 9:45:17 PM GMT+3","Женский","26","Высшее","Фили-Давыдково","Я работаю","Нет","","","","","","Нет","Нет","Нет","Более 10 километров","6","4","10","8","5","8",""
"2019/05/28 10:04:52 PM GMT+3","Мужской","48","Высшее","Бутово ","Я работаю","Нет","","","","","","Да","Нет","Да, есть","От 5 до 10 километров","9","9","7","7","2","2",""
"2019/05/28 10:09:16 PM GMT+3","Женский","42","Высшее","Тропарево-Никулино ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Нет","Да, есть","От 5 до 10 километров","7","5","1","1","5","8","Развлечение"
"2019/05/28 10:14:22 PM GMT+3","Женский","45","Высшее, ученая степень","Ломоносовский","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Да","Да","Да, есть","Да, есть","От 5 до 10 километров","9","2","5","2","9","10","Адреналин "
"2019/05/28 10:20:24 PM GMT+3","Женский","40","Высшее","Филёвский парк","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Да, есть","Да, есть","Менее 2 километров","8","8","10","2","4","7","Прогулка по парку"
"2019/05/28 10:22:43 PM GMT+3","Женский","42","Высшее","ОЧАКОВО-МАТВЕЕВСКОЕ","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","От 5 до 10 километров","7","4","1","1","9","9","ОЧЕНЬ бы хотела кататься. но не умею. Если бы нашла средства и время научиться. и если бы наш город стал приспособлен для этого - я бы ездила на нем везде"
"2019/05/28 10:23:33 PM GMT+3","Женский","63 ","Высшее","Крылатское","Я работаю","Нет","","","","","","Нет","Нет","Да, есть","Менее 2 километров","8","10","10","10","5","5","Ничто"
"2019/05/28 10:30:27 PM GMT+3","Мужской","33","Высшее","Тропарево-Никулино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Нет, не пользуюсь","Способ проведения досуга","Нет","Да","Нет","Нет","Более 10 километров","5","1","1","1","10","10","Отдых"
"2019/05/28 11:12:58 PM GMT+3","Женский","38","Высшее","обручевский","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","От 5 до 10 километров","8","6","10","1","1","5","Баловство"
"2019/05/28 11:17:50 PM GMT+3","Женский","46","Высшее","Тропарево Никулино","Я работаю","Нет","","","","","","Нет","Да, есть","Да, есть","Более 10 километров","10","5","10","10","1","1",""
"2019/05/28 11:20:56 PM GMT+3","Женский","38","Высшее, ученая степень","Тропарево-Никулино","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Да, пользуюсь","Способ проведения досуга","Нет","Нет","Нет","Да, есть","От 5 до 10 километров","4","8","8","5","3","3","Средство прогулки в парке, спокойной (не скоростной) езды для удовольствия"
"2019/05/28 11:21:35 PM GMT+3","Женский","35","Высшее","Московский ","Я работаю","Да","Более 10 лет","Нет, не пользуюсь","Да, пользуюсь","Способ проведения досуга","Нет","Нет","Нет","Да, есть","Более 10 километров","8","1","10","2","3","9","Отдых"
